name,foundingDate
ROYSTER,1901
VARCO                          ,1908
COORS ADOLPH                   ,1901
KEYSTONE FOODS CORP            ,1965
C. F. BRAUN                    ,1909
BROOKS FASHION STORES          ,1923
"CHRISTENSEN, INC.              ",1944
KERR GLASS MANUFACTURI         ,1903
LIQUID AIR                     ,1965
OCEANEERING INTERNATL          ,1965
COLONIAL GAS ENERGY            ,1929
CULLEN BANKERS                 ,1965
SBE INC.                       ,1961
DICKEY-JOHN                    ,1966
BALDOR                         ,1920
PATHCOM                        ,1970
CHEMINEER                      ,1952
MANUFACTURING DATA             ,1969
CRAY RESEARCH                  ,1972
BURING FOOD GROUP              ,1945
MAYFLOWER                      ,1955
ENTENMANNS                     ,1958
NATCO                          ,1911
GAP STORES                     ,1969
STEWART & STEVENSON SE         ,1902
FOUR PHASE                     ,1969
SHARED MEDICAL SYSTEMS         ,1969
DOCUMATION                     ,1970
DATA TERMINAL                  ,1970
VAPOR                          ,1904
DYCO PETROLEUM                 ,1971
AMDAHL                         ,1970
ZONDERVAN                      ,1954
ROLM                           ,1969
KIMBALL                        ,1901
TYRONE HYDRAULICS              ,1965
CHEFS INTERNATIONAL            ,1975
DATA RESOURCES INC             ,1968
BOKUM                          ,1972
BEAR CREEK                     ,1972
PCA INTERNATIONAL              ,1967
TETRA TECH                     ,1966
FREMONT GENERAL                ,1961
OMEGA OPTICAL                  ,1972
BROUGHAM INDUSTRIES            ,1969
CONTINUOS CURVE LENS           ,1960
ST JUDE MEDICAL                ,1976
JHIRMACK ENTERPRISES           ,1968
JENN-AIR                       ,1953
TESDATA SYSTEMS                ,1972
AMERICAN CLIPPER               ,1973
HOP-IN FOOD STORES             ,1966
GEOSOURCE                      ,1973
HARPER GROUP                   ,1961
DELOREAN MOTOR CORPORA         ,1975
TPC COMMUNICATION              ,1970
UTILITY VERIFICATION           ,1977
TRI-AMERICAN CORPORATI         ,1961
NEW ENGLAND BUSINESS S         ,1955
CENTURY 21 REAL ESTATE         ,1971
PAIN CONTROL CENTERS           ,1976
JLG INDUSTRIES                 ,1969
TANDEM COMPUTERS               ,1974
TELENET                        ,1977
SUNTEC SYSTMS                  ,1977
FEDERAL EXPRESS CORP           ,1971
EMPLOYEE BENEFITS              ,1969
GENRAD                         ,1915
PARADYNE CORP                  ,1969
MOUNTAIN HIGH                  ,1972
CHERRY ELECTRICAL PROD         ,1953
CULLINANE                      ,1968
RANDAL DATA SYSTEMS            ,1974
EVANS & SUTHERLAND             ,1968
NUCLEAR METALS                 ,1954
COLOR TILE                     ,1953
OIL BASE                       ,1946
FLOATING POINT SYSTEM          ,1970
ROBINSON NUGENT                ,1955
SCIENTIFIC TIME SHAR           ,1969
XIDEX                          ,1969
AVANTEK                        ,1965
ANECO REINSURANCE              ,1978
COMPACT VIDEO SYSTEMS          ,1971
L LURIA & SON                  ,1901
PETROLEUM EQUIP TOOLS          ,1967
RAMTEK                         ,1971
NATL RAILWAYS UTILIZ           ,1968
BANK OF NEW HAVEN              ,1978
AUTO-TROL TECHNOLOGY           ,1962
PICCADILLY CAFETERIAS          ,1944
VERBATIM                       ,1969
BROOKWOOD HEALTH SERV.         ,1967
OIL CITY PETROLEUM             ,1978
WESTERN PACIFIC RR             ,1916
SAFETY-KLEEN                   ,1963
UNIT DRILLING                  ,1963
TELECO OILFIELD SERV.          ,1972
UNITED TELECOM.                ,1938
AMER. MGMT. SYSTEMS            ,1970
STRYKER                        ,1946
BIOMED. REF. LABS              ,1969
BRAE                           ,1978
PETX PETROLEUM                 ,1978
SYMBOL TECHNOLOGIES            ,1973
ATLANTIC RESEARCH              ,1968
TOPAZ                          ,1969
PRINTRONIX                     ,1974
NICKLOS OIL & GAS              ,1950
ANTENNAS FOR COMM.             ,1972
"SANDERS, RC TECH.              ",1975
DEPENDABLE INSUR. GRP.         ,1972
APPLIED SOLAR ENERGY           ,1978
WALBAR                         ,1951
UNITED PETROSEARCH             ,1978
RICHMOND TANK CAR              ,1973
SHOPSMITH                      ,1972
SPECTRADYNE                    ,1971
WESPERCORP                     ,1975
THOMPSON MEDICAL               ,1954
INFORMATICS                    ,1971
VALLEN                         ,1947
BIOMETRICS                     ,1978
HAEMONETICS                    ,1971
KEVEX                          ,1967
BIO-RESPONSE                   ,1972
SPECIALIZED SYSTEMS            ,1977
THE EXPLORATION CO.            ,1979
LIFE INSTRUMENTS               ,1977
ADAC LABS                      ,1970
EMPIRE OF CAROLINA             ,1939
TIE / COMMUNICATIONS           ,1971
NBI                            ,1973
THOUSAND TRAILS                ,1969
HARKEN OIL & GAS               ,1979
TRIAD SYSTEMS                  ,1972
BIOCHEM INTERNATIONAL          ,1976
MOXA ENERGY                    ,1979
PYRO-MAGNETICS                 ,1969
PASSPORT TRAVEL                ,1975
BLOCKER ENERGY                 ,1978
ANTHEM ELECTRONICS             ,1968
CADO SYSTEMS                   ,1973
SILTEC                         ,1969
DIMIS                          ,1974
RADIOGRAPHIC                   ,1974
GEOKINETICS                    ,1980
EMPIRE AIRLINES                ,1974
SCI-TEX                        ,1971
CORCOM                         ,1955
UP-RIGHT                       ,1947
NITRON                         ,1976
ENZO BIOCHEM                   ,1976
INT'L CAP'L EQUIP              ,1974
PARAHO DEVELOPMENT             ,1971
BROCK HOTEL                    ,1969
ANDREW                         ,1947
GENERAL NUTRITION              ,1955
TECHNODYNE                     ,1980
MAGNUSON COMPUTER              ,1977
GOODY PRODUCTS                 ,1933
TYLAN                          ,1954
GENERAL DEFENSE                ,1974
TELLABS                        ,1974
OPTIMUM HOLDING                ,1975
APPLICON                       ,1969
AMERICAN GASAHOL               ,1980
ADVANCED SYSTEMS               ,1973
