Country Name,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17342.47194,16441.38126,16586.1923,17927.41203,19081.57029,19356.42087,20619.56585,20671.54574,20433.65411,20834.93971,22566.68216,23302.83199,24015.42061,25921.28214,27549.34573,24639.93533,24289.14152,25354.78247,,
Andorra,AND,,,,,,,,,,3238.089309,3497.913127,4217.400412,5343.122777,6320.971878,7168.39871,7151.573768,7751.169372,9127.611699,11819.64579,12377.71386,10372.32718,9611.238058,8023.345627,7729.323364,7775.027507,10362.16775,12615.05218,14305.20964,15166.91258,18876.73019,19530.84206,20541.77313,16508.87491,16226.97018,18460.00661,19043.83529,18421.68883,18996.44122,19347.11107,17334.27567,18599.41539,20326.9001,25355.26718,29372.16674,31268.96674,34484.70086,39922.89012,46418.41547,,,,,
Afghanistan,AFG,61.30409306,59.79869332,80.42300207,83.79481181,103.0891031,140.1383832,163.7007886,131.2214359,131.3136212,158.7642309,161.709516,137.0236876,144.8505998,175.6255239,188.5521201,199.5466136,226.5788854,250.007641,278.9397783,276.2977514,268.3465596,,,,,,,,,,,,,,,,,,,,115.3125095,185.9592901,198.2877991,220.0562878,252.4078925,275.3509409,373.5914162,376.9776699,450.659239,561.1976175,613.9791916,687.245475,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,750.721957,681.9084598,772.2105078,813.960941,923.5829012,992.872871,1144.659637,525.2677821,464.7843426,345.6891602,416.3200958,604.4394354,597.9317814,490.5820149,455.4139458,655.6294946,621.1959301,839.5045121,920.1011758,1229.342988,1706.543616,2440.631716,3412.718998,4596.268431,3988.683557,4218.649126,5159.233666,5482.428049,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,641.1309859,638.5410262,687.4115586,663.2683182,637.2072698,685.9122032,609.7176985,329.261478,205.8258776,359.3709141,586.7191785,722.0373681,901.8793989,659.2659041,820.2620793,1035.10052,1115.493916,1244.953035,1363.334633,1744.875982,2320.89233,2620.820724,2872.260625,3380.894192,4108.414124,3845.72172,3764.326348,4109.082012,3999.92531,
Arab World,ARB,,,,,,,,278.0196697,298.2389049,316.6721995,357.3848651,422.4473731,520.9327251,962.4921145,1044.910132,1250.892799,1407.095648,1506.800742,1946.095159,2502.263115,2501.055567,2259.284602,2068.858544,2032.711515,1950.477681,1786.328805,1854.87572,1741.922655,1792.597561,1947.674914,1865.376413,1962.762273,1936.998416,1932.823327,2014.779711,2178.060976,2267.576799,2160.129986,2310.233978,2607.330294,2483.006827,2464.104889,2715.676516,3126.045059,3740.062019,4403.519983,5025.910138,6238.417382,5314.802187,6047.841257,7195.404462,,
United Arab Emirates,ARE,,,,,,,,,,,,,,,27631.89854,30817.26338,34371.46289,28742.85535,33716.72408,42961.83822,45232.63353,40339.27187,35218.05797,32731.50724,30138.88635,23788.11076,24019.64401,22543.09623,24289.94214,28066.14992,27018.92638,26944.75487,26224.14905,26568.48993,28020.08541,29776.16001,30218.1755,27482.9829,29183.05043,34476.28542,32984.74237,34062.42574,36906.19989,40403.98817,43533.89178,45554.2194,44528.99601,46309.98211,35025.10449,34048.53025,39057.84011,,
Argentina,ARG,,1148.169613,844.725024,1165.785164,1271.415566,1265.777345,1057.328068,1136.125925,1323.707905,1317.186989,1366.118074,1401.324892,2083.811883,2824.427666,2011.421437,1932.103107,2111.621363,2128.116083,2499.956643,2736.897378,2755.744428,2908.250929,3532.450473,2646.406659,2914.154511,3602.179183,3554.877803,3979.637126,2382.217236,4332.656387,5736.020465,6824.997085,6971.142245,7483.863863,7407.645208,7717.47986,8205.45296,8278.972516,7764.656497,7701.358535,7208.814628,2711.85077,3413.109072,3997.243288,4740.067029,5490.435174,6630.045926,8231.226065,7674.342976,9132.957259,10951.58273,11573.06497,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.68069,589.0029482,368.9168368,356.5073514,399.7512025,455.5502761,503.2319696,522.522072,608.3366487,596.5059963,621.4248263,692.3188255,779.8928417,924.5821548,1182.09736,1625.396904,2126.089566,3079.144086,3916.730427,2913.60061,3124.788199,3421.726556,3351.381364,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
